artist_name,album_name,album_type,release_date,total_tracks,album_uri,name,duration_ms,explicit,track_number,popularity,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,track_uri
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,boom,209080,False,3,44,0.307,0.74,0.628,2,-3.355,1,0.143,0.0418,1.74e-06,0.12,104.926,4,spotify:track:4PIDYDoXyBUAh5Tzndtk9K
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,pandora's box,249120,False,4,42,0.634,0.636,0.813,0,-3.38,1,0.0693,0.127,0.0,0.064,159.968,4,spotify:track:2eibpPa0zEyFb7SR4edlYp
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,day dream,205746,False,5,43,0.174,0.422,0.799,4,-4.441,1,0.14,0.203,0.0,0.198,136.424,3,spotify:track:4O5NmwwKzpQkuUUUz0V3TN
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,interlude: neo zone,99120,False,6,35,0.109,0.529,0.575,7,-6.628,1,0.109,0.244,0.807,0.0296,165.97,4,spotify:track:4PkQJX29fickABu8UEXqIO
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,mad dog,183186,False,7,48,0.606,0.645,0.866,2,-3.415,1,0.381,0.206,0.0,0.0976,157.831,4,spotify:track:1x60WPvUlRvUZFMaMMDGQi
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,sit down!,200200,False,8,53,0.719,0.819,0.812,1,-4.204,1,0.11,0.0603,2e-05,0.043,127.981,4,spotify:track:3G7867O6gqh3UmpQeeMLDW
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,love me now,248253,False,9,47,0.386,0.547,0.778,6,-4.733,0,0.138,0.151,0.0,0.0515,126.185,4,spotify:track:1rERmGg7Aywj0Wbv9uVDvV
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,love song,215160,False,10,51,0.664,0.652,0.783,1,-3.271,1,0.143,0.048,0.0,0.0866,129.843,4,spotify:track:7xH1V8qRKEOCCqIJBvlTva
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,white night,243426,False,11,44,0.214,0.56,0.568,7,-3.967,0,0.0288,0.203,0.0,0.13,70.978,4,spotify:track:33txTXgQioQ5eaXc7yWd67
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,not alone,225173,False,12,45,0.427,0.761,0.574,9,-5.229,1,0.0332,0.627,9e-06,0.125,126.994,4,spotify:track:5N48rfOMFf2XkHpqPoAqzW
